Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:37:09.7263	3CD	8	BA 3F F5 38 E3 B7 DF 77 	9.7	DA
Rx	00:37:09.7306	305	6	00 24 00 07 01 00 	10.0	DA
Rx	00:37:09.7261	208	8	25 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:37:09.7168	40D	8	BA CF D7 AD 3D BF F3 17 	19.6	DA
Rx	00:37:09.7164	348	8	EA FF 51 FD 00 03 EC 19 	20.0	DA
Rx	00:37:09.6970	3ED	4	CE 5C F6 F6 	39.4	DA
Rx	00:37:09.6974	44D	8	13 F7 13 19 13 3C 29 C9 	39.3	DA
Rx	00:37:09.6966	468	3	A0 3F FB 	39.8	DA
Rx	00:37:09.7063	38D	5	13 00 FF EA AF 	49.1	DA
Rx	00:37:09.7240	432	6	81 51 48 FE 00 00 	50.0	DA
Rx	00:37:09.6990	412	8	10 00 00 00 00 8D 00 00 	49.5	DA
Rx	00:37:09.6789	592	3	00 00 00 	100.0	DA
Rx	00:37:09.6570	488	8	6F B5 19 00 DD 8D CE EE 	99.7	DA
Rx	00:37:09.6889	612	5	11 23 01 64 00 	100.0	DA
Rx	00:37:09.6340	50E	8	00 00 30 80 00 00 FF 0D 	100.1	DA
Rx	00:37:09.6939	517	3	69 AA 80 	100.1	DA
Rx	00:37:09.6583	50D	6	00 FF EA FF EA 69 	100.2	DA
Rx	00:37:08.9655	552	5	01 2E 80 00 00 	999.6	DA
Rx	00:37:08.8439	7F2	8	03 61 8F 00 05 60 FF 00 	999.4	DA
Rx	00:37:08.7439	7E2	7	03 61 8F 00 05 60 FF 	1000.1	DA
Rx	00:37:09.6490	792	8	00 00 00 00 00 40 00 00 	1000.1	DA
Rx	00:37:08.8237	797	6	00 00 00 00 00 00 	1001.1	DA
