Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:36:50.2349	3CD	8	BA 3F F5 38 E3 B7 DF 77 	10.7	DA
Rx	00:36:50.2351	305	6	00 24 00 07 23 00 	10.2	DA
Rx	00:36:50.2340	208	8	33 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:36:50.2353	40D	8	BA CF D7 AD 3D BF F3 17 	20.1	DA
Rx	00:36:50.2342	348	8	EA FF 51 FD 00 03 EC 19 	20.0	DA
Rx	00:36:50.2148	3ED	4	CE 5C F6 F6 	39.7	DA
Rx	00:36:50.2154	44D	8	1B F7 1B 19 1B 3C 39 C9 	39.8	DA
Rx	00:36:50.2144	468	3	A0 3F FB 	39.9	DA
Rx	00:36:50.2346	38D	5	1B 00 F3 C9 AF 	50.3	DA
Rx	00:36:50.2227	432	6	81 5B 48 FE 00 00 	50.1	DA
Rx	00:36:50.1977	412	8	10 00 00 00 00 8D 00 00 	50.0	DA
Rx	00:36:50.1775	592	3	00 00 00 	100.0	DA
Rx	00:36:50.2344	488	8	70 B5 19 00 DD 8D CE EE 	99.2	DA
Rx	00:36:50.1876	612	5	11 20 01 64 00 	100.0	DA
Rx	00:36:50.2326	50E	8	00 00 30 80 00 00 FF 09 	100.0	DA
Rx	00:36:50.1758	517	3	69 AA 80 	100.0	DA
Rx	00:36:50.2355	50D	6	00 F3 C9 F3 C9 69 	99.1	DA
Rx	00:36:49.9641	552	5	01 2D 50 00 00 	1000.1	DA
Rx	00:36:49.8426	7F2	8	03 61 8D 7E FF FF FF 00 	1000.1	DA
Rx	00:36:49.7426	7E2	7	03 61 8D 7E FF FF FF 	1000.1	DA
Rx	00:36:49.6476	792	8	00 00 00 00 00 40 00 00 	1000.0	DA
Rx	00:36:49.8061	797	6	00 00 00 00 00 00 	1001.2	DA
