Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:38:05.8823	3CD	8	BA 3F F5 38 E3 B7 DF 77 	9.8	DA
Rx	00:38:05.8781	305	6	00 24 00 07 01 00 	10.0	DA
Rx	00:38:05.8819	208	8	1A 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:38:05.8729	40D	8	BA CF D7 AD 3D BF F3 17 	20.2	DA
Rx	00:38:05.8721	348	8	EA FF 51 FD 00 03 EC 19 	19.9	DA
Rx	00:38:05.8727	3ED	4	CE 5C F6 F6 	39.4	DA
Rx	00:38:05.8731	44D	8	03 F7 03 19 03 3C 07 C9 	39.3	DA
Rx	00:38:05.8723	468	3	A0 3F FB 	39.8	DA
Rx	00:38:05.8820	38D	5	03 00 13 0E AF 	49.1	DA
Rx	00:38:05.8779	432	6	81 54 48 FE 00 00 	50.0	DA
Rx	00:38:05.8530	412	8	10 00 00 00 00 8D 00 00 	50.0	DA
Rx	00:38:05.8828	592	3	00 00 00 	99.9	DA
Rx	00:38:05.8327	488	8	52 B5 19 00 DD 8D CE EE 	99.7	DA
Rx	00:38:05.7936	612	5	11 27 01 64 00 	100.1	DA
Rx	00:38:05.8379	50E	8	00 00 38 80 00 00 FF 01 	100.0	DA
Rx	00:38:05.8463	517	3	EB AA 80 	100.4	DA
Rx	00:38:05.8340	50D	6	00 13 0E 13 0E 69 	100.2	DA
Rx	00:38:04.9694	552	5	01 32 00 00 00 	1000.1	DA
Rx	00:38:05.8479	7F2	8	03 61 8F 00 05 61 FF 00 	1000.1	DA
Rx	00:38:05.7478	7E2	7	03 61 8F 00 05 61 FF 	1000.0	DA
Rx	00:38:05.6537	792	8	00 00 00 00 00 40 00 00 	1000.9	DA
Rx	00:38:05.8763	797	6	00 00 00 00 00 00 	1000.7	DA
