Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:31:33.0307	3CD	8	BA 3F F5 38 E3 B7 DF 77 	9.7	DA
Rx	00:31:33.0258	305	6	00 24 00 07 23 00 	10.0	DA
Rx	00:31:33.0305	208	8	22 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:31:33.0212	40D	8	BA CF D7 AD 3D BF F3 17 	19.0	DA
Rx	00:31:33.0208	348	8	EA FF 51 FD 00 03 EC 19 	19.8	DA
Rx	00:31:33.0019	3ED	4	CE 5C F6 F6 	40.3	DA
Rx	00:31:33.0024	44D	8	08 F7 08 19 08 3C 11 C9 	40.4	DA
Rx	00:31:33.0011	468	3	A0 3F FB 	39.9	DA
Rx	00:31:33.0015	38D	5	08 00 E9 DC AF 	50.5	DA
Rx	00:31:33.0005	432	6	81 53 48 FE 00 00 	50.0	DA
Rx	00:31:33.0256	412	8	10 00 00 00 00 8D 00 00 	50.1	DA
Rx	00:31:32.9554	592	3	00 00 00 	100.0	DA
Rx	00:31:33.0013	488	8	70 B5 19 00 DD 8D CE EE 	99.7	DA
Rx	00:31:32.9655	612	5	11 20 01 64 00 	100.1	DA
Rx	00:31:33.0105	50E	8	00 00 30 80 00 00 FF 01 	100.0	DA
Rx	00:31:32.9817	517	3	69 AA 80 	99.2	DA
Rx	00:31:33.0026	50D	6	00 E9 DC E9 DC 69 	100.2	DA
Rx	00:31:32.9421	552	5	01 19 90 00 00 	19001.3	DA
Rx	00:31:32.8205	7F2	8	03 61 8F 00 05 59 FF 00 	19001.3	DA
Rx	00:31:32.7205	7E2	7	03 61 8F 00 05 59 FF 	19001.3	DA
Rx	00:31:32.6255	792	8	00 00 00 00 00 40 00 00 	19001.3	DA
Rx	00:31:32.5112	797	6	00 00 00 00 00 00 	19017.7	DA
