Sens	Heure	Ident	Lg	Données	Période	Svc
Rx	00:43:11.2137	3CD	8	BA 3F F5 38 E3 B7 DF 77 	10.8	DA
Rx	00:43:11.2099	305	6	FF 48 00 07 6D 00 	10.0	DA
Rx	00:43:11.2127	208	8	6F 00 1D 73 01 B9 E2 3B 	10.0	DA
Rx	00:43:11.2141	40D	8	BA CF D7 AD 3D BF F3 17 	20.7	DA
Rx	00:43:11.2130	348	8	EA FF 51 FD 00 03 EC 19 	20.0	DA
Rx	00:43:11.2139	3ED	4	CE 5C F6 F6 	40.3	DA
Rx	00:43:11.2144	44D	8	2A F7 2A 19 2A 3C 59 C9 	40.3	DA
Rx	00:43:11.2131	468	3	A0 3F FB 	39.9	DA
Rx	00:43:11.2135	38D	5	2A 00 95 C2 AF 	50.5	DA
Rx	00:43:11.1991	432	6	81 5E 48 FE 00 00 	49.9	DA
Rx	00:43:11.1743	412	8	10 00 00 00 00 8D 00 00 	50.1	DA
Rx	00:43:11.2041	592	3	00 00 00 	100.0	DA
Rx	00:43:11.2133	488	8	52 B5 19 00 DD 8D CE EE 	99.7	DA
Rx	00:43:11.2147	612	5	11 23 01 64 00 	100.1	DA
Rx	00:43:11.1591	50E	8	00 00 30 80 00 00 FF 0B 	99.9	DA
Rx	00:43:11.1294	517	3	EB AA 80 	100.1	DA
Rx	00:43:11.2146	50D	6	00 95 C2 95 C2 69 	100.2	DA
Rx	00:43:10.9907	552	5	01 45 20 00 00 	1000.1	DA
Rx	00:43:10.8692	7F2	8	03 61 8D 7E FF FF FF 00 	1000.1	DA
Rx	00:43:10.7691	7E2	7	03 61 8D 7E FF FF FF 	999.9	DA
Rx	00:43:10.6742	792	8	00 00 00 00 00 40 00 00 	1000.1	DA
Rx	00:43:11.1597	797	6	00 00 00 00 00 00 	1000.9	DA
